Date,GBP_USD
1/12/2006,1.760904
1/13/2006,1.777493
1/16/2006,1.76641
1/17/2006,1.76719
1/18/2006,1.762208
1/19/2006,1.757006
1/20/2006,1.771009
1/23/2006,1.786512
1/24/2006,1.783485
1/25/2006,1.78409
1/26/2006,1.781388
1/27/2006,1.76769
1/30/2006,1.767097
1/31/2006,1.7786
2/1/2006,1.774906
2/2/2006,1.7786
2/3/2006,1.762705
2/6/2006,1.747091
2/7/2006,1.746603
2/8/2006,1.741311
2/9/2006,1.745597
2/10/2006,1.744592
2/13/2006,1.743102
2/14/2006,1.736111
2/15/2006,1.740311
2/16/2006,1.739493
2/17/2006,1.742585
2/20/2006,1.744896
2/21/2006,1.745901
2/22/2006,1.744014
2/23/2006,1.752203
2/24/2006,1.7445
2/27/2006,1.739887
2/28/2006,1.754201
3/1/2006,1.749996
3/2/2006,1.753494
3/3/2006,1.755895
3/6/2006,1.749904
3/7/2006,1.736503
3/8/2006,1.736805
3/9/2006,1.73581
3/10/2006,1.726311
3/13/2006,1.73581
3/14/2006,1.747
3/15/2006,1.747702
3/16/2006,1.75679
3/17/2006,1.756512
3/20/2006,1.75571
3/21/2006,1.749108
3/22/2006,1.746786
3/23/2006,1.734305
3/24/2006,1.742585
3/27/2006,1.746389
3/28/2006,1.743011
3/29/2006,1.735207
3/30/2006,1.747091
3/31/2006,1.73771
4/3/2006,1.740008
4/4/2006,1.755402
4/5/2006,1.752695
4/6/2006,1.751712
4/7/2006,1.744105
4/10/2006,1.743314
4/11/2006,1.749598
4/12/2006,1.751314
4/13/2006,1.753094
4/14/2006,1.752787
4/17/2006,1.769912
4/18/2006,1.783994
4/19/2006,1.791986
4/20/2006,1.777999
4/21/2006,1.78269
4/24/2006,1.787214
4/25/2006,1.787885
4/26/2006,1.784886
4/27/2006,1.801899
4/28/2006,1.825984
5/1/2006,1.825284
5/2/2006,1.839013
5/3/2006,1.839486
5/4/2006,1.851989
5/5/2006,1.8596
5/8/2006,1.858114
